"timestamp","price","size","side","vix"
1441914989839721,195075,1,"B",2470
1441914990273649,195100,11,"A",2470
1441914991152060,195125,1,"B",2470
1441914991371294,195150,10,"A",2470
1441914992113813,195150,2,"A",2470
1441914992758151,195150,1,"A",2465
1441914994086404,195125,2,"B",2465
1441914994301859,195150,9,"A",2465
1441914994306919,195125,1,"B",2465
1441914994740433,195150,1,"A",2470
1441914994960741,195125,1,"B",2465
1441914995179496,195150,2,"A",2465
1441914995185719,195125,9,"B",2465
1441914995399263,195150,11,"A",2465
1441914996065373,195125,1,"B",2465
1441914996070565,195100,2,"B",2465
1441914996503997,195125,21,"A",2465
1441914997430694,195100,2,"A",2465
1441914998325820,195100,13,"A",2465
1441914999416999,195100,1,"A",2465
1441915000071052,195075,1,"B",2465
1441915000503341,195100,2,"A",2465
1441915000725031,195075,1,"B",2465
1441915001829894,195075,2,"B",2465
1441915002706365,195075,1,"B",2465
1441915005338149,195100,1,"B",2465
1441915006650539,195100,1,"B",2465
1441915007123370,195125,1,"A",2465
1441915007787656,195100,89,"A",2465
1441915008885975,195075,4,"A",2470
1441915009323756,195050,2,"B",2470
1441915009994029,195025,1,"B",2475
1441915011744955,195050,5,"A",2470
1441915011755058,195025,5,"B",2470
1441915011962968,195025,1,"B",2470
1441915013496757,195050,7,"A",2470
1441915014811420,195050,3,"A",2470
1441915015467406,195050,18,"A",2470
1441915016344488,195050,21,"B",2470
1441915016788615,195075,23,"B",2475
1441915017052267,195050,2,"B",2475
1441915017490520,195075,1,"A",2475
1441915017524739,195050,3,"B",2475
1441915019269437,195075,12,"A",2475
1441915019706766,195075,32,"A",2475
1441915020365948,195050,1,"B",2475
1441915021685628,195050,1,"B",2475
1441915022780670,195050,5,"B",2475
1441915023799218,195050,2,"B",2470
1441915024236926,195025,1,"B",2470
1441915024903355,195050,1,"A",2475
1441915025115352,195050,4,"A",2475
1441915026650216,195025,6,"B",2475
1441915027620103,195050,100,"A",2475
1441915027846144,195025,1,"B",2475
1441915028508414,195025,1,"B",2475
1441915029167140,195025,3,"B",2475
1441915029613714,195025,1,"B",2475
1441915031140604,195000,1,"B",2475
1441915031144447,195025,1,"A",2475
1441915031805530,195000,1,"B",2475
1441915032019526,195025,1,"A",2475
1441915032461836,194975,2,"B",2475
1441915032921363,194975,1,"B",2475
1441915033795659,195000,1,"A",2475
1441915034101330,194925,3,"B",2475
1441915034982055,194925,1,"B",2480
1441915035421889,194925,3,"B",2480
1441915036515273,194950,1,"A",2480
1441915036536402,194925,1,"A",2480
1441915036740830,194925,2,"A",2480
1441915037222565,194900,2,"B",2480
1441915038858706,194900,3,"B",2480
1441915039863938,194900,5,"A",2480
1441915040083921,194875,1,"B",2480
1441915040303416,194900,1,"A",2485
1441915040741319,194875,2,"B",2485
1441915042297297,194900,2,"A",2485
1441915044491341,194900,1,"A",2485
1441915045159972,194875,1,"B",2485
1441915046028887,194875,137,"B",2485
1441915047154188,194875,2,"B",2485
1441915047169550,194900,5,"B",2485
1441915048349064,194925,12,"B",2485
1441915049445198,194925,1,"B",2485
1441915050541520,194925,3,"B",2485
1441915050981584,194950,1,"A",2485
1441915052077574,194925,3,"B",2485
1441915052736390,194900,3,"B",2480
1441915054054279,194900,1,"A",2480
1441915057067092,194900,1,"A",2480
1441915058161781,194900,31,"B",2480
1441915060137509,194925,1,"A",2480
1441915061233637,194900,2,"B",2480
1441915061892869,194925,4,"B",2485
1441915062560799,194925,3,"A",2485
1441915063657281,194925,1,"A",2485
1441915065195945,194900,1,"B",2485
1441915066287051,194925,1,"B",2485
1441915067214188,194925,46,"B",2485
1441915068318362,194925,11,"A",2485
1441915070575609,194925,3,"B",2485
1441915072558016,194925,1,"B",2480
1441915073654722,194950,20,"B",2480
1441915074774347,194950,2,"A",2480
1441915076758081,194950,2,"A",2480
1441915077465115,194950,3,"A",2480
1441915078445023,194925,31,"A",2480
1441915079328451,194900,7,"A",2485
1441915081081130,194825,1,"B",2485
1441915081908956,194900,1,"A",2480
1441915082790609,194875,6,"B",2480
1441915084119398,194875,1,"B",2480
1441915085209628,194875,26,"B",2475
1441915086085523,194900,1,"A",2475
1441915086966786,194875,4,"B",2475
1441915087483259,194900,1,"B",2475
1441915088370960,194900,8,"B",2475
1441915088601166,194925,44,"B",2475
1441915089270915,194925,2,"A",2475
1441915090680699,194950,1,"A",2470
1441915092220935,194975,1,"A",2470
1441915092904213,194975,2,"A",2470
1441915094195850,194975,5,"A",2470
1441915094858309,194975,2,"A",2470
1441915095073048,194950,3,"A",2475
1441915095298141,194925,1,"B",2475
1441915095967192,194950,68,"A",2475
1441915097301335,194925,1,"B",2475
1441915097956881,194950,1,"B",2475
1441915099052616,194950,27,"B",2475
1441915100927410,194950,27,"B",2470
1441915101821024,194950,45,"A",2470
1441915102688063,194950,1,"B",2470
1441915102912047,194975,3,"A",2470
1441915103126868,194950,17,"B",2470
1441915103345772,194950,23,"B",2475
1441915104670421,194950,46,"B",2475
1441915106208763,194975,5,"A",2475
1441915107668891,195000,1,"A",2475
1441915107891070,195025,3,"A",2475
1441915108323037,195000,5,"B",2470
1441915109649035,195000,1,"B",2470
1441915109878477,195025,1,"A",2470
1441915110306904,195000,4,"A",2470
1441915110527066,194975,5,"B",2470
1441915112278461,195000,1,"A",2470
1441915114242292,195000,5,"B",2470
1441915115995356,195000,3,"B",2470
1441915116214642,195000,1,"B",2470
1441915117681376,195000,1,"B",2470
1441915118119305,195025,2,"A",2470
1441915120402015,195000,1,"B",2470
1441915120621351,195025,1,"A",2465
1441915122372663,195000,1,"A",2470
1441915125488746,195000,5,"A",2470
1441915126598088,194975,3,"B",2470
1441915127276471,195000,3,"A",2470
1441915128064446,195000,2,"A",2470
1441915129184616,194975,44,"A",2470
1441915129827337,194975,1,"A",2470
1441915129830952,194975,5,"A",2470
1441915130267388,194975,2,"A",2470
1441915130487620,194900,6,"B",2475
1441915131232485,194925,7,"A",2475
1441915131669725,194900,3,"B",2475
1441915131888469,194900,1,"B",2475
1441915132327748,194900,3,"B",2475
1441915133645498,194900,1,"B",2475
1441915133863942,194900,7,"B",2475
1441915134784023,194900,5,"B",2475
1441915135889212,194900,44,"B",2475
1441915137770589,194900,3,"A",2475
1441915138631627,194875,2,"B",2475
1441915140173158,194850,5,"B",2475
1441915140611790,194875,10,"A",2475
1441915140614811,194850,2,"B",2475
1441915141489908,194850,1,"B",2475
1441915141803024,194875,50,"A",2475
1441915142461471,194900,94,"B",2475
1441915142466859,194900,6,"A",2475
1441915143989739,194925,1,"A",2475
1441915144646632,194900,3,"A",2475
1441915146186066,194900,2,"A",2475
1441915147118974,194875,1,"B",2475
1441915148219949,194900,1,"A",2475
1441915149253565,194900,11,"B",2475
1441915150150550,194925,8,"B",2475
1441915150577914,194925,20,"B",2475
1441915151234704,194925,24,"B",2475
1441915151451140,194950,28,"B",2475
1441915151890227,194975,25,"B",2475
1441915152110465,194975,30,"B",2475
1441915152342949,194975,27,"B",2475
1441915154085599,194975,5,"A",2480
1441915154088718,194975,10,"A",2480
1441915154534431,194950,1,"B",2480
1441915154753531,194975,3,"A",2480
1441915154768063,194950,5,"B",2480
1441915155191974,194975,11,"B",2480
1441915155411779,195000,2,"B",2480
1441915156730357,194975,27,"B",2480
1441915157267506,195000,50,"A",2480
1441915158148738,195000,2,"A",2480
1441915158368161,194975,2,"B",2480
1441915158803685,195000,5,"A",2480
1441915159245268,194975,1,"B",2480
1441915159460011,194975,16,"B",2480
1441915160996981,194975,1,"B",2480
1441915161434876,195000,1,"A",2480
1441915162101953,194975,58,"A",2480
1441915162540791,194950,27,"B",2480
1441915163637456,194975,125,"B",2480
1441915164743995,194950,1,"B",2480
1441915164962053,194950,3,"B",2480
1441915165400259,194975,11,"B",2480
1441915166498483,194975,5,"A",2480
1441915168086530,195000,1,"A",2480
1441915168741287,195000,1,"A",2480
1441915169179991,194975,1,"B",2480
1441915169180491,195000,2,"A",2480
1441915170058361,195000,10,"A",2480
1441915170277566,194975,101,"A",2480
1441915170497619,194975,171,"A",2480
1441915170514924,194950,95,"A",2480
1441915171465681,194975,1,"A",2480
1441915171472187,194950,1,"B",2480
1441915171695319,194975,3,"A",2480
1441915171720607,194975,54,"B",2480
1441915172742863,194975,1,"B",2480
1441915173316678,195000,1,"A",2480
1441915173536964,195025,1,"B",2480
1441915173777780,195050,12,"A",2480
1441915174204707,195025,43,"B",2475
1441915175618172,195050,20,"B",2475
1441915175839162,195050,1,"B",2475
1441915176056453,195075,30,"A",2475
1441915176505338,195050,75,"B",2475
1441915176947060,195050,2,"A",2475
1441915177470119,195050,48,"B",2475
1441915179207436,194975,4,"A",2475
1441915179431426,195000,4,"A",2475
1441915180084118,194950,1,"A",2475
1441915180312982,194950,3,"A",2475
1441915181181444,194975,1,"B",2475
1441915181190464,195000,1,"A",2475
1441915181843925,194975,1,"B",2475
1441915182247787,195000,3,"B",2475
1441915182919092,194975,46,"B",2475
1441915184468730,194975,72,"B",2475
1441915184887662,195000,86,"B",2475
1441915185257924,195025,6,"A",2475
1441915185477085,195050,8,"B",2475
1441915186096419,195075,1,"B",2475
1441915186108123,195100,19,"A",2475
1441915186316723,195050,1,"B",2475
1441915186755093,195075,3,"B",2475
1441915187051939,195100,11,"A",2475
1441915187265185,195100,13,"A",2475
1441915187712459,195100,2,"A",2475
1441915188580949,195100,1,"A",2475
1441915188805124,195075,1,"B",2475
1441915189240244,195125,2,"A",2475
1441915189252822,195100,1,"B",2475
1441915189461823,195125,2,"A",2475
1441915189678078,195125,13,"A",2475
1441915190337273,195100,1,"B",2475
1441915190355472,195100,24,"A",2475
1441915190784912,195125,1,"A",2475
1441915191214190,195100,1,"B",2475
1441915191433320,195100,3,"A",2475
1441915191653518,195100,104,"A",2475
1441915192531243,195075,64,"B",2470
1441915192755111,195100,5,"A",2470
1441915192979394,195075,12,"B",2470
1441915193412771,195100,1,"A",2470
1441915193629217,195075,5,"B",2470
1441915194068069,195100,115,"A",2470
1441915194167298,195100,6,"B",2470
1441915194620620,195075,47,"A",2470
1441915195191193,195075,8,"A",2470
1441915195221187,195025,34,"A",2470
1441915195855827,194975,1,"B",2470
1441915195866570,195000,50,"B",2470
1441915196090534,195000,76,"B",2470
1441915197060415,194975,16,"A",2470
1441915197319540,194975,64,"A",2470
1441915197740385,194950,1,"B",2470
1441915198180851,194975,1,"A",2470
1441915198401503,194950,1,"B",2470
1441915198617339,194975,4,"A",2470
1441915198837914,195000,23,"B",2470
1441915199209471,195075,1,"A",2470
1441915199306494,195075,5,"B",2470
1441915199706578,195075,144,"A",2470
1441915199714459,195100,144,"A",2470
1441915199916205,195100,2,"B",2470
1441915200310119,195075,2,"A",2475
1441915200335153,195075,98,"B",2475
1441915200511480,195225,5,"A",2470
1441915200735516,195150,10,"A",2470
1441915200974115,195150,1,"A",2470
